07:16:09.330519 IP 5ed92da5bdac.48424 > prod-oai-spgwc.prod-oai-public-net.8805: UDP, length 16
07:16:23.461622 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.461647 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.474752 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.488281 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.488305 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.500213 IP 5ed92da5bdac.51631 > ns.fudan.edu.cn.domain: 8776+ PTR? 58.89.74.112.in-addr.arpa. (43)
07:16:23.501663 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.504500 IP ns.fudan.edu.cn.domain > 5ed92da5bdac.51631: 8776 NXDomain 0/0/0 (43)
07:16:23.504647 IP 5ed92da5bdac.34934 > ns.fudan.edu.cn.domain: 39602+ PTR? 127.0.0.10.in-addr.arpa. (41)
07:16:23.505034 IP ns.fudan.edu.cn.domain > 5ed92da5bdac.34934: 39602 NXDomain* 0/1/0 (98)
07:16:23.517107 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.517139 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.528256 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.541517 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.541541 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.554845 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.568218 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.568261 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:23.581520 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.595451 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:23.595476 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
